year,rank,title,wikilink,network,rating,show_id,genre_id,genre,overview
1954,19,Private Secretary,//en.wikipedia.org/wiki/Private_Secretary_(TV_series),CBS,32.2,10666.0,35,comedy,"Private Secretary is an American sitcom that aired from February 1, 1953 to September 10, 1957 on CBS, alternating with The Jack Benny Program on Sundays at 7:30pm EST. The series stars Ann Sothern as Susan Camille ""Susie"" MacNamara, devoted secretary to handsome talent agent Peter Sands, played by Don Porter."
1954,21,The Life of Riley,//en.wikipedia.org/wiki/The_Life_of_Riley,NBC,30.9,22902.0,35,comedy,"Riley worked in an aircraft plant in California, but viewers usually saw him at home, cheerfully disrupting life with his malapropisms and ill timed intervention into minor problems."
1954,24,Topper,//en.wikipedia.org/wiki/Topper_(TV_series),CBS,29.4,12145.0,"10765,35",comedy,"Topper is an American fantasy sitcom based on the 1937 film of the same name. The series was broadcast on CBS from October 9, 1953 to July 15, 1955, and stars Leo G. Carroll in the title role."
1954,26,The George Burns and Gracie Allen Show,//en.wikipedia.org/wiki/The_George_Burns_and_Gracie_Allen_Show,CBS,29.0,30667.0,35,comedy,"Burns and Allen, an American comedy duo consisting of George Burns and his wife, Gracie Allen, worked together as a comedy team in vaudeville, films, radio and television and achieved great success over four decades."
1954,27,The Colgate Comedy Hour,//en.wikipedia.org/wiki/The_Colgate_Comedy_Hour,NBC,28.0,1048.0,35,comedy,"The Colgate Comedy Hour is an American comedy-musical variety series that aired live on the NBC network from 1950 to 1955. The show starred many notable comedians and entertainers of the era, including Eddie Cantor, Dean Martin and Jerry Lewis, Fred Allen, Donald O'Connor, Bud Abbott and Lou Costello, Bob Hope, Jimmy Durante, Ray Bolger, Gordon MacRae, Ben Blue, Robert Paige, Tony Curtis, Burt Lancaster, Broadway dancer Wayne Lamb and Spike Jones and His City Slickers."
1954,28,The Loretta Young Show,//en.wikipedia.org/wiki/Letter_to_Loretta,NBC,27.7,7900.0,"35,18",comedy,"The New Loretta Young Show, is an American television series, which aired for twenty-six weekly episodes on CBS television from September 24, 1962 to March 18, 1963, features Loretta Young in a combination drama and situation comedy about a free-lance writer in suburban Connecticut named Christine Massey, the widowed mother of seven children. The program is the only one in which Young starred as a recurring character. Her previous anthology series on NBC placed her in the role of hostess and occasional star. Young is the first star to garner both Academy and Emmy awards, one of a relatively few to make the transition from motion picture to television.

Though it followed the popular The Andy Griffith Show on CBS, The New Loretta Young Show, sponsored by Lever Brothers, proved unable to sustain the needed audience in competition at 10 p.m. Eastern time on Mondays with the ABC medical drama Ben Casey starring Vince Edwards and Sam Jaffe, which entered its second season. NBC fielded David Brinkley's Journal at the same time, reflections of the news correspondent David Brinkley. The New Loretta Young Show was hence quietly dropped at the end of winter in 1963. Young had formed LYL Production Company for the series, an indication that she did not expect a premature end to the program. Norman Foster directed most of the episodes; John London and Ruth Roberts were the producers."
1954,29,My Little Margie,//en.wikipedia.org/wiki/My_Little_Margie,NBC,27.1,11766.0,35,comedy,My Little Margie is an American situation comedy starring Gale Storm and Charles Farrell that alternated between CBS and NBC from 1952 to 1955.
1955,2,I Love Lucy,//en.wikipedia.org/wiki/I_Love_Lucy,CBS,46.1,2730.0,"35,10751",comedy,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends."
1955,3,The Ed Sullivan Show,//en.wikipedia.org/wiki/The_Ed_Sullivan_Show,CBS,39.5,5307.0,"35,10767",comedy,"The Ed Sullivan Show is an American TV variety show that originally ran on CBS from Sunday June 20, 1948 to Sunday June 6, 1971, and was hosted by New York entertainment columnist Ed Sullivan. It was replaced in September 1971 by the CBS Sunday Night Movie, which ran only one season and was eventually replaced by other shows.

In 2002, The Ed Sullivan Show was ranked #15 on TV Guide's 50 Greatest TV Shows of All Time."
1955,5,The Jack Benny Show,//en.wikipedia.org/wiki/The_Jack_Benny_Program#Television,CBS,37.2,10151.0,35,comedy,Laugh along with funnyman Jack Benny as he brings his underplayed humor to TV along with regular performers from his radio show days.
