title,camera
Julia,Unknown
The Dean Martin Show,Unknown
Here's Lucy,Unknown
The Beverly Hillbillies,Single-camera
Mission: Impossible,Unknown
Bewitched,Single-camera
The Red Skelton Hour,Unknown
My Three Sons,Unknown
The Glen Campbell Goodtime Hour,Unknown
Ironside,Unknown
The Virginian,Unknown
The F.B.I.,Unknown
Green Acres,Single-camera
Dragnet,Unknown
Daniel Boone,Unknown
Walt Disney's Wonderful World of Color,Unknown
The Ed Sullivan Show,Multi-camera
The Carol Burnett Show,Multi-camera
The Jackie Gleason Show,Multi-camera
I Dream of Jeannie,Single-camera
The Smothers Brothers Comedy Hour,Multi-camera
The Mod Squad,Unknown
The Lawrence Welk Show,Unknown
The Doris Day Show,Unknown
Rowan & Martin's Laugh-In,Unknown
Gunsmoke,Unknown
Bonanza,Unknown
Mayberry R.F.D.,Unknown
Family Affair,Unknown
Here's Lucy,Unknown
The Red Skelton Hour,Unknown
"Marcus Welby, M.D.",Single-camera
Walt Disney's Wonderful World of Color,Unknown
The Doris Day Show,Unknown
The Bill Cosby Show,Unknown
The Jim Nabors Hour,<!-- Either Single-camera or Multi-camera -->
The Carol Burnett Show,Multi-camera
The Dean Martin Show,Unknown
My Three Sons,Unknown
Ironside,Unknown
The Johnny Cash Show,<!-- Either Single-camera or Multi-camera -->
The Beverly Hillbillies,Single-camera
Hawaii Five-O,Unknown
The Glen Campbell Goodtime Hour,Unknown
Hee Haw,Unknown
Movie of the Week,Unknown
The Mod Squad,Unknown
Saturday Night Movie,Unknown
Bewitched,Single-camera
The F.B.I.,Unknown
The Ed Sullivan Show,Multi-camera
Julia,Unknown
CBS Thursday Movie,Unknown
Mannix,Single-camera
"Marcus Welby, M.D.",Single-camera
The Flip Wilson Show,Unknown
Here's Lucy,Unknown
Ironside,Unknown
Gunsmoke,Unknown
ABC Movie of the Week,Unknown
Hawaii Five-O,Unknown
Medical Center,Unknown
Bonanza,Unknown
The F.B.I.,Unknown
The Mod Squad,Unknown
Adam-12,Unknown
Rowan & Martin's Laugh-In,Unknown
The Wonderful World of Disney,Unknown
Mayberry R.F.D.,Unknown
Hee Haw,Unknown
Mannix,Single-camera
The Men from Shiloh,Unknown
My Three Sons,Unknown
The Doris Day Show,Unknown
