title,camera
The Good Wife,Single-camera
Hawaii Five-0,Unknown
Grey's Anatomy,Single-camera
The X Factor,Unknown
The X Factor — Wednesday,Unknown
Mike & Molly,Multi-camera
Rob,Unknown
CSI: Miami,Unknown
2 Broke Girls,Multi-camera
Desperate Housewives,Single-camera
Once Upon a Time,Unknown
NCIS,Unknown
Sunday Night Football,Unknown
The Big Bang Theory,Multi-camera
NCIS: Los Angeles,Unknown
Person of Interest,Unknown
Dancing with the Stars,Unknown
American Idol,Unknown
Dancing with the Stars — Results,Unknown
American Idol — Thursday,Unknown
Two and a Half Men,Film; Multi-camera
The Voice,Unknown
Blue Bloods,Single-camera
The Voice — Tuesday,Unknown
Elementary,Unknown
Castle,Unknown
60 Minutes,Multi-camera
Criminal Minds,Unknown
CSI: Crime Scene Investigation,Unknown
Grey's Anatomy,Single-camera
The Mentalist,| company              = {{Plainlist|
Modern Family,Single camera
Vegas,Unknown
Body of Proof,Unknown
CSI: NY,Unknown
The Following,Single camera
The Good Wife,Single-camera
Survivor: Philippines,Unknown
2 Broke Girls,Multi-camera
Hawaii Five-0,Unknown
Survivor: Caramoan,Unknown
Sunday Night Football,Unknown
NCIS,Unknown
The Big Bang Theory,Multi-camera
NCIS: Los Angeles,Unknown
Dancing with the Stars,Unknown
The Blacklist,Single-camera
Person of Interest,Unknown
The Voice,Unknown
Blue Bloods,Single-camera
The Voice — Tuesday,Unknown
Grey's Anatomy,Single-camera
Castle,Unknown
Criminal Minds,Unknown
Scandal,Unknown
Resurrection,Unknown
CSI: Crime Scene Investigation,Unknown
60 Minutes,Multi-camera
Elementary,Unknown
The Good Wife,Single-camera
Modern Family,Single camera
Hawaii Five-0,Unknown
American Idol,Unknown
The Mentalist,| company              = {{Plainlist|
The Millers,Multi-camera
Survivor,Unknown
American Idol — Thursday,Unknown
Two and a Half Men,Film; Multi-camera
How I Met Your Mother,Multi-camera
Chicago Fire,Unknown
Intelligence,Unknown
Sunday Night Football,Unknown
The Big Bang Theory,Multi-camera
NCIS,Unknown
NCIS: New Orleans,Multi-camera
Empire,Unknown
Thursday Night Football,Multi-camera
Dancing with the Stars,Unknown
Criminal Minds,Unknown
Madam Secretary,Unknown
Scandal,Unknown
Blue Bloods,Single-camera
The Blacklist,Single-camera
The Voice,Unknown
Scorpion,Unknown
The Voice: Tuesday,Unknown
The Good Wife,Single-camera
60 Minutes,Multi-camera
Grey's Anatomy,Single-camera
Hawaii Five-0,Unknown
How to Get Away with Murder,Single-camera
Person of Interest,Unknown
NCIS: Los Angeles,Unknown
Modern Family,Single camera
Two and a Half Men,Film; Multi-camera
Elementary,Unknown
The Mentalist,| company              = {{Plainlist|
Mom,Unknown
Castle,Unknown
CSI: Crime Scene Investigation,Unknown
CSI: Cyber,Unknown
NCIS,Unknown
Sunday Night Football,Unknown
The Big Bang Theory,Multi-camera
Thursday Night Football,Multi-camera
Empire,Unknown
NCIS: New Orleans,Multi-camera
Dancing with the Stars,Unknown
Blue Bloods,Single-camera
The Voice,Unknown
The X-Files,Unknown
Grey's Anatomy,Single-camera
The Voice: Tuesday,Unknown
Criminal Minds,Unknown
Madam Secretary,Unknown
60 Minutes,Multi-camera
Scandal,Unknown
Scorpion,Unknown
The Blacklist,Single-camera
How to Get Away with Murder,Single-camera
Little Big Shots,Unknown
Blindspot,Unknown
The Good Wife,Single-camera
NCIS: Los Angeles,Unknown
Chicago Fire,Unknown
Hawaii Five-0,Unknown
American Idol,Unknown
American Idol - Thursday,Unknown
Code Black,Unknown
Survivor,Unknown
Chicago Med,Single-camera
Life in Pieces,Single-camera
Shades of Blue,Unknown
The Big Bang Theory,Multi-camera
NCIS,Unknown
Sunday Night Football,Unknown
Thursday Night Football,Multi-camera
Bull,Unknown
This Is Us,Single-camera
Blue Bloods,Single-camera
NCIS: New Orleans,Multi-camera
Dancing with the Stars,Unknown
NCIS: Los Angeles,Unknown
60 Minutes,Multi-camera
Hawaii Five-0,Unknown
The Voice,Unknown
Designated Survivor,Unknown
The Voice: Tuesday,Unknown
Grey's Anatomy,Single-camera
Criminal Minds,Unknown
Madam Secretary,Unknown
Empire,Unknown
Scorpion,Unknown
Chicago Fire,Unknown
Chicago Med,Single-camera
Survivor,Unknown
Little Big Shots,Unknown
MacGyver,Unknown
Code Black,Unknown
The Blacklist,Single-camera
Mom,Unknown
The Bachelor,Unknown
Scandal,Unknown
The Big Bang Theory,Multi-camera
NCIS,Unknown
Sunday Night Football,Unknown
This Is Us,Single-camera
Roseanne,Unknown
Young Sheldon,Single-camera
The Good Doctor,Unknown
Bull,Unknown
Thursday Night Football,Multi-camera
Blue Bloods,Single-camera
NCIS: New Orleans,Multi-camera
The Voice,Unknown
60 Minutes,Multi-camera
Grey's Anatomy,Single-camera
Dancing with the Stars,Unknown
Hawaii Five-0,Unknown
The Voice: Tuesday,Unknown
Mom,Unknown
Chicago Med,Single-camera
NCIS: Los Angeles,Unknown
Chicago P.D.,Unknown
Chicago Fire,Unknown
SEAL Team,Unknown
Instinct,Unknown
Criminal Minds,Unknown
9-1-1,Unknown
Dancing with the Stars: Athletes,Unknown
Survivor,Unknown
S.W.A.T.,Unknown
Madam Secretary,Unknown
American Idol,Unknown
Law & Order: Special Victims Unit,Single-camera
Sunday Night Football,Unknown
The Big Bang Theory,Multi-camera
NCIS,Unknown
Thursday Night Football,Multi-camera
Young Sheldon,Single-camera
This Is Us,Single-camera
Blue Bloods,Single-camera
FBI,Unknown
The Good Doctor,Unknown
Manifest,Unknown
Chicago Fire,Unknown
America's Got Talent: The Champions,Unknown
Chicago Med,Single-camera
Bull,Unknown
Chicago P.D.,Unknown
New Amsterdam,Unknown
NCIS: New Orleans,Multi-camera
60 Minutes,Multi-camera
The Voice,Unknown
Grey's Anatomy,Single-camera
Mom,Unknown
The Voice: Tuesday,Unknown
Hawaii Five-0,Unknown
NCIS: Los Angeles,Unknown
The Masked Singer,Unknown
9-1-1,Unknown
The Conners,Multi-camera
God Friended Me,Unknown
Survivor,Unknown
Dancing with the Stars,Unknown
Sunday Night Football,Unknown
NCIS,Unknown
Thursday Night Football,Multi-camera
FBI,Unknown
Blue Bloods,Single-camera
Chicago Fire,Unknown
This Is Us,Single-camera
Young Sheldon,Single-camera
Chicago P.D.,Unknown
Chicago Med,Single-camera
The Good Doctor,Unknown
The Masked Singer,Unknown
Bull,Unknown
60 Minutes,Multi-camera
9-1-1,Unknown
The Voice,Unknown
FBI: Most Wanted,Single-camera
New Amsterdam,Unknown
Hawaii Five-0,Unknown
NCIS: New Orleans,Multi-camera
The Voice: Tuesday,Unknown
Grey's Anatomy,Single-camera
Survivor,Unknown
9-1-1: Lone Star,Unknown
America's Got Talent: The Champions,Unknown
Magnum P.I.,Unknown
NCIS: Los Angeles,Unknown
American Idol,Unknown
Mom,Unknown
Station 19,Unknown
Sunday Night Football,Unknown
Thursday Night Football,Multi-camera
NCIS,Unknown
The Equalizer,Unknown
FBI,Unknown
60 Minutes,Multi-camera
Chicago Fire,Unknown
Blue Bloods,Single-camera
Chicago Med,Single-camera
Chicago P.D.,Unknown
9-1-1,Unknown
Young Sheldon,Single-camera
This Is Us,Single-camera
FBI: Most Wanted,Single-camera
9-1-1: Lone Star,Unknown
Bull,Unknown
The Voice,Unknown
The Voice: Tuesday,Unknown
The Good Doctor,Unknown
Grey's Anatomy,Single-camera
Law & Order: Organized Crime,Unknown
NCIS: Los Angeles,Unknown
The Masked Singer,Unknown
Magnum P.I.,Unknown
American Idol,Unknown
Big Sky,Unknown
NCIS: New Orleans,Multi-camera
Celebrity Wheel of Fortune,Unknown
The Rookie,Unknown
Station 19,Unknown
Sunday Night Football,Unknown
Thursday Night Football,Multi-camera
NCIS,Unknown
FBI,Unknown
Chicago Fire,Unknown
Blue Bloods,Single-camera
The Equalizer,Unknown
Young Sheldon,Single-camera
60 Minutes,Multi-camera
Chicago P.D.,Unknown
Chicago Med,Single-camera
FBI: Most Wanted,Single-camera
Ghosts,Unknown
NCIS: Hawaiʻi,Unknown
FBI: International,Unknown
The Voice,Unknown
The Voice: Tuesday,Unknown
This Is Us,Single-camera
La Brea,Unknown
Bull,Unknown
Magnum P.I.,Unknown
Survivor,Unknown
American Idol,Unknown
NCIS: Los Angeles,Unknown
9-1-1,Unknown
American Idol: Monday,Unknown
9-1-1: Lone Star,Unknown
Law & Order: Special Victims Unit,Single-camera
CSI: Vegas,Unknown
The Good Doctor,Unknown
Sunday Night Football,Unknown
NCIS,Unknown
FBI,Unknown
Young Sheldon,Single-camera
Chicago Fire,Unknown
Blue Bloods,Single-camera
Ghosts,Unknown
60 Minutes,Multi-camera
Chicago Med,Single-camera
The Equalizer,Unknown
Chicago P.D.,Unknown
Fire Country,Unknown
FBI: Most Wanted,Single-camera
FBI: International,Unknown
NCIS: Hawaiʻi,Unknown
The Voice,Unknown
The Voice: Tuesday,Unknown
9-1-1,Unknown
Law & Order: Special Victims Unit,Single-camera
American Idol,Unknown
East New York,Unknown
Survivor,Unknown
S.W.A.T.,Unknown
The Rookie,Unknown
The Neighborhood,Unknown
So Help Me Todd,Unknown
Jeopardy! Masters,Unknown
The Good Doctor,Unknown
NCIS: Los Angeles,Unknown
Bob Hearts Abishola,Multi-camera
Sunday Night Football,Unknown
Monday Night Football,Multi-camera
Tracker,Unknown
NCIS,Unknown
Young Sheldon,Single-camera
FBI,Unknown
Chicago Fire,Unknown
Blue Bloods,Single-camera
60 Minutes,Multi-camera
Ghosts,Unknown
Chicago Med,Single-camera
Chicago P.D.,Unknown
The Equalizer,Unknown
NCIS: Hawaiʻi,Unknown
Elsbeth,Unknown
FBI: Most Wanted,Single-camera
Fire Country,Unknown
FBI: International,Unknown
The Voice,Unknown
Law & Order: Special Victims Unit,Single-camera
The Voice: Tuesday,Unknown
9-1-1,Unknown
Will Trent,Unknown
NCIS: Sydney,Multi-camera
Survivor,Unknown
So Help Me Todd,Unknown
S.W.A.T.,Unknown
CSI: Vegas,Unknown
The Golden Bachelor,Unknown
The Irrational,Unknown
Sunday Night Football,Unknown
Tracker,Unknown
High Potential,Unknown
Matlock,Unknown
Georgie & Mandy's First Marriage,Multi-camera
Ghosts,Unknown
Monday Night Football,Multi-camera
Elsbeth,Unknown
Will Trent,Unknown
9-1-1,Unknown
Watson,Unknown
Shifting Gears,Unknown
The Rookie,Unknown
FBI,Unknown
NCIS,Unknown
Chicago Fire,Unknown
Blue Bloods,Single-camera
Chicago P.D.,Unknown
Chicago Med,Single-camera
Fire Country,Unknown
NCIS: Origins,Unknown
Abbott Elementary,Single-camera
60 Minutes,Multi-camera
Law & Order: Special Victims Unit,Single-camera
FBI: Most Wanted,Single-camera
Survivor 48,Unknown
The Voice,Unknown
The Equalizer,Unknown
FBI: International,Unknown
Survivor 47,Unknown
